Search keyword report
"February 1, 2026 - May 27, 2026 compared to October 8, 2025 - January 31, 2026"
Keyword status,Keyword,Match type,Campaign,Ad group,Status,Status reasons,Quality Score,Currency code,Cost / conv.,Cost / conv. (Compare to),Cost / conv. (Change),Cost / conv. (Change %),Cost,Cost (Compare to),Cost (Change),Cost (Change %),Conversions,Conversions (Compare to),Conversions (Change),Conversions (Change %),Conv. rate,Conv. rate (Compare to),Conv. rate (Change),Conv. rate (Change %),Search impr. share,Search impr. share (Compare to),Search impr. share (Change),Search impr. share (Change %),Conv. value / cost,Conv. value / cost (Compare to),Conv. value / cost (Change),Conv. value / cost (Change %),Conv. value,Conv. value (Compare to),Conv. value (Change),Conv. value (Change %),Avg. CPC,Avg. CPC (Compare to),Avg. CPC (Change),Avg. CPC (Change %),Clicks,Clicks (Compare to),Clicks (Change),Clicks (Change %),Impr.,Impr. (Compare to),Impr. (Change),Impr. (Change %),CTR,CTR (Compare to),CTR (Change),CTR (Change %),Final URL,Original conv. value,Original conv. value (Compare to),Original conv. value (Change),Original conv. value (Change %)
Enabled,[pet boarding],Exact match,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,ET | Pet Boarding KW | Target CPA,Eligible,,7,USD,38.19,39.78,-1.59,-3.99%,315.06,460.75,-145.68,-31.62%,8.25,11.58,-3.33,-28.78%,19.64%,17.29%,2.35%, +13.62%,59.73%,59.10%, --, +1.07%,0.00,0.00,-0.00,-100.00%,0.00,1.00,-1.00,-100.00%,7.50,6.88,0.62, +9.08%,42,67,-25,-37.31%,523,691,-168,-24.31%,8.03%,9.70%,-1.67%,-17.18%,,0.00,1.00,-1.00,-100.00%
Enabled,[resort for dogs],Exact match,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,Dog Resort,Not eligible,ad group paused, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Enabled,[pet boarding rockville md],Exact match,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,ET | Pet Boarding KW | Target CPA,Eligible,,7,USD,113.91,62.67,51.23, +81.75%,227.82,62.67,165.14, +263.49%,2.00,1.00,1.00, +100.00%,10.00%,11.11%,-1.11%,-10.00%,62.27%,46.00%,16.27%, +35.38%,0.01,0.00,0.01, +∞,3.00,0.00,3.00, +∞,11.39,6.96,4.43, +63.57%,20,9,11, +122.22%,211,291,-80,-27.49%,9.48%,3.09%,6.39%, +206.48%,,3.00,0.00,3.00, +∞
Enabled,[dog resort],Exact match,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,Dog Resort,Not eligible,ad group paused, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Enabled,pet boarding near me,Broad match,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,ET | Pet Boarding KW | Target CPA,Eligible,,6,USD,47.99,29.17,18.82, +64.52%,967.79,1123.26,-155.47,-13.84%,20.17,38.51,-18.34,-47.63%,14.94%,21.88%,-6.94%,-31.73%,39.30%,36.45%, --, +7.80%,0.02,0.01,0.01, +98.50%,18.00,10.52,7.48, +71.03%,7.17,6.38,0.79, +12.33%,135,176,-41,-23.30%,"2,227","2,705",-478,-17.67%,6.06%,6.51%,-0.44%,-6.83%,,18.00,10.52,7.48, +71.03%
Enabled,pet boarding service,Broad match,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,ET | Pet Boarding KW | Target CPA,Eligible,, --,USD,55.70,52.41,3.29, +6.27%,278.51,262.07,16.44, +6.27%,5.00,5.00,0.00,0.00%,9.09%,9.43%,-0.34%,-3.64%,29.81%,21.23%, --, +40.44%,0.00,0.01,-0.01,-100.00%,0.00,3.00,-3.00,-100.00%,5.06,4.94,0.12, +2.41%,55,53,2, +3.77%,"1,568","1,155",413, +35.76%,3.51%,4.59%,-1.08%,-23.56%,,0.00,3.00,-3.00,-100.00%
Enabled,pet boarding,Broad match,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,ET | Pet Boarding KW | Target CPA,Eligible,,7,USD,68.83,29.05,39.78, +136.93%,757.08,837.60,-80.52,-9.61%,11.00,28.83,-17.83,-61.85%,8.53%,21.20%,-12.67%,-59.78%,31.13%,32.55%, --,-4.35%,0.00,0.01,-0.00,-44.71%,3.00,6.00,-3.00,-50.02%,5.87,6.16,-0.29,-4.71%,129,136,-7,-5.15%,"2,005","2,140",-135,-6.31%,6.43%,6.36%,0.08%, +1.24%,,3.00,6.00,-3.00,-50.02%
Enabled,[pet boarding rockville],Exact match,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,ET | Pet Boarding KW | Target CPA,Eligible,,8,USD,44.60,30.15,14.45, +47.92%,89.20,163.31,-74.11,-45.38%,2.00,5.42,-3.42,-63.08%,18.18%,36.11%,-17.93%,-49.65%,62.20%,68.67%, --,-9.44%,0.00,0.03,-0.03,-100.00%,0.00,5.00,-5.00,-100.00%,8.11,10.89,-2.78,-25.52%,11,15,-4,-26.67%,167,157,10, +6.37%,6.59%,9.55%,-2.97%,-31.06%,,0.00,5.00,-5.00,-100.00%
Enabled,[pet boarding near me],Exact match,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,ET | Pet Boarding KW | Target CPA,Eligible,,6,USD,42.57,33.55,9.02, +26.88%,248.31,301.94,-53.63,-17.76%,5.83,9.00,-3.17,-35.19%,18.82%,27.27%,-8.46%,-31.00%,71.78%,60.71%,11.06%, +18.22%,0.04,0.01,0.03, +305.33%,10.00,3.00,7.00, +233.33%,8.01,9.15,-1.14,-12.46%,31,33,-2,-6.06%,298,484,-186,-38.43%,10.40%,6.82%,3.58%, +52.57%,,10.00,3.00,7.00, +233.33%
Enabled,pet boarding rockville,Broad match,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,ET | Pet Boarding KW | Target CPA,Eligible,,8,USD,41.67,34.76,6.91, +19.89%,250.04,104.28,145.76, +139.78%,6.00,3.00,3.00, +100.00%,17.14%,12.00%,5.14%, +42.86%,25.83%,31.04%, --,-16.79%,0.02,0.00,0.02, +∞,6.00,0.00,6.00, +∞,7.14,4.17,2.97, +71.27%,35,25,10, +40.00%,637,616,21, +3.41%,5.49%,4.06%,1.44%, +35.38%,,6.00,0.00,6.00, +∞
Enabled,[pet boarding service],Exact match,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,ET | Pet Boarding KW | Target CPA,Eligible,, --,USD,0.00,0.00,0.00,0.00%,28.03,3.81,24.22, +635.81%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,38.81%,20.00%,18.81%, +94.03%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,3.50,3.81,-0.31,-8.02%,8,1,7, +700.00%,90,9,81, +900.00%,8.89%,11.11%,-2.22%,-20.00%,,0.00,0.00,0.00,0.00%
Paused,doggie daycare,Broad match,ET | Search | TOFU_NewAudience | Daycare | Target CPA | Daycare | Phone + LeadForm | Rockville MD,ET | Dog Daycare KW | Target CPA,Paused,paused, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Paused,local doggie day care,Broad match,ET | Search | TOFU_NewAudience | Daycare | Target CPA | Daycare | Phone + LeadForm | Rockville MD,ET | Dog Daycare KW | Target CPA,Paused,paused, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Enabled,[doggie day care],Exact match,ET | Search | TOFU_NewAudience | Daycare | Target CPA | Daycare | Phone + LeadForm | Rockville MD,ET | Dog Daycare KW | Target CPA,Eligible,,7,USD,0.00,193.14,-193.14,-100.00%,23.96,193.14,-169.18,-87.59%,0.00,1.00,-1.00,-100.00%,0.00%,3.33%,-3.33%,-100.00%,27.27%,39.55%, --,-31.04%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,2.18,6.44,-4.26,-66.16%,11,30,-19,-63.33%,218,379,-161,-42.48%,5.05%,7.92%,-2.87%,-36.25%,,0.00,0.00,0.00,0.00%
Paused,[dog day],Exact match,ET | Search | TOFU_NewAudience | Daycare | Target CPA | Daycare | Phone + LeadForm | Rockville MD,ET | Dog Daycare KW | Target CPA,Paused,paused; low quality, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Paused,doggie day care,Broad match,ET | Search | TOFU_NewAudience | Daycare | Target CPA | Daycare | Phone + LeadForm | Rockville MD,ET | Dog Daycare KW | Target CPA,Paused,paused,7,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Enabled,[doggy daycare rockville],Exact match,ET | Search | TOFU_NewAudience | Daycare | Target CPA | Daycare | Phone + LeadForm | Rockville MD,ET | Dog Daycare KW | Target CPA,Eligible,,8,USD,19.90,33.80,-13.90,-41.13%,165.79,213.42,-47.63,-22.32%,8.33,6.31,2.02, +31.96%,20.83%,26.31%,-5.48%,-20.82%,44.00%,53.37%, --,-17.55%,0.06,0.15,-0.09,-60.80%,9.99,32.82,-22.82,-69.55%,4.14,8.89,-4.75,-53.39%,40,24,16, +66.67%,315,226,89, +39.38%,12.70%,10.62%,2.08%, +19.58%,,9.99,32.82,-22.82,-69.55%
Paused,dog daycare near me prices,Broad match,ET | Search | TOFU_NewAudience | Daycare | Target CPA | Daycare | Phone + LeadForm | Rockville MD,ET | Dog Daycare KW | Target CPA,Paused,paused, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Enabled,[doggy daycare near me],Exact match,ET | Search | TOFU_NewAudience | Daycare | Target CPA | Daycare | Phone + LeadForm | Rockville MD,ET | Dog Daycare KW | Target CPA,Eligible,,5,USD,7.33,28.46,-21.12,-74.22%,14.67,259.58,-244.91,-94.35%,2.00,9.12,-7.12,-78.07%,40.00%,24.01%,15.99%, +66.63%,60.87%,63.64%, --,-4.35%,0.00,0.02,-0.02,-100.00%,0.00,6.05,-6.05,-100.00%,2.93,6.83,-3.90,-57.05%,5,38,-33,-86.84%,137,301,-164,-54.49%,3.65%,12.62%,-8.97%,-71.09%,,0.00,6.05,-6.05,-100.00%
Paused,[doggie day care nearby],Exact match,ET | Search | TOFU_NewAudience | Daycare | Target CPA | Daycare | Phone + LeadForm | Rockville MD,ET | Dog Daycare KW | Target CPA,Paused,paused, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Paused,local doggy day care,Broad match,ET | Search | TOFU_NewAudience | Daycare | Target CPA | Daycare | Phone + LeadForm | Rockville MD,ET | Dog Daycare KW | Target CPA,Paused,paused, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Paused,doggie day care nearby,Broad match,ET | Search | TOFU_NewAudience | Daycare | Target CPA | Daycare | Phone + LeadForm | Rockville MD,ET | Dog Daycare KW | Target CPA,Paused,paused, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Paused,doggy day care near,Broad match,ET | Search | TOFU_NewAudience | Daycare | Target CPA | Daycare | Phone + LeadForm | Rockville MD,ET | Dog Daycare KW | Target CPA,Paused,paused, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
